,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women
2010,14.841666666666667,10.291666666666666,8.383333333333333,4.708333333333333,8.716666666666667,15.95833333333333,7.5,12.491666666666667,9.816666666666668,8.033333333333333
2011,14.075000000000001,9.425,7.966666666666666,4.308333333333334,7.933333333333334,15.824999999999998,7.016666666666667,11.491666666666667,8.700000000000001,7.916666666666667
2012,12.391666666666667,8.308333333333334,7.1000000000000005,4.025,7.191666666666667,13.825000000000001,5.8999999999999995,10.316666666666666,7.525000000000001,7.341666666666666
2013,10.958333333333334,7.508333333333333,6.366666666666667,3.6999999999999997,6.508333333333333,13.066666666666668,5.224999999999999,9.108333333333333,6.974999999999999,6.533333333333334
2014,9.016666666666666,6.008333333333333,5.425,3.1749999999999994,5.3,11.341666666666667,4.983333333333333,7.3999999999999995,5.708333333333333,5.591666666666666
2015,7.941666666666666,5.441666666666666,4.508333333333334,2.5666666666666664,4.583333333333333,9.558333333333334,3.8250000000000006,6.600000000000001,4.908333333333334,4.775
2016,7.433333333333334,5.191666666666666,4.083333333333333,2.5083333333333333,4.283333333333334,8.433333333333335,3.641666666666667,5.7749999999999995,4.508333333333334,4.408333333333332
2017,6.508333333333334,4.65,3.7500000000000004,2.316666666666667,3.808333333333334,7.483333333333335,3.4,5.133333333333333,3.9999999999999996,3.9666666666666672
2018,5.608333333333333,4.041666666666666,3.3166666666666664,2.125,3.4583333333333335,6.491666666666666,3.0,4.675,3.5749999999999997,3.525
2019,5.3500000000000005,3.6583333333333337,3.0250000000000004,2.091666666666667,3.2833333333333337,6.075,2.6750000000000003,4.300000000000001,3.35,3.275000000000001
